"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/courseRoutes.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 7, 34
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/examsRoutes.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/guestsRoutes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/indvTraineeRoute.js", "JavaScript", 0, 34, 0, 0, 0, 0, 1, 17, 52
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/instructorsRoutes.js", "JavaScript", 0, 34, 0, 0, 0, 0, 4, 18, 56
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/reportsRoutes.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/reviewRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/server.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/package-lock.json", "JSON", 44304, 0, 0, 0, 0, 0, 0, 1185081, 1229385
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/package.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 1025, 1093
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, 22, 23, 1, 46
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
